box_number,box_code,box_name,eligible_voters,valid_votes,invalid_votes,total_votes,male_voted,female_voted,candidate_1_votes,candidate_2_votes,candidate_3_votes,candidate_4_votes,candidate_5_votes,candidate_6_votes,candidate_7_votes,candidate_8_votes,verified
Z41,Z41.1.1,454 | Taj Coral Reef Resort and Spa,77,62,0,62,58,4,7,0,15,32,1,0,7,0,0
Z42,Z42.1.1,455 | Jumeirah Maldives Olhahali Island,60,47,1,48,41,7,2,0,21,19,2,2,1,0,1
Z43,Z43.1.1,456 | Oblu Select by Atmosphere at Sangeli,34,32,1,33,31,2,1,0,13,15,0,0,2,1,1
Z44,Z44.1.1,457 | Holiday Inn Resort Kandooma Maldives,62,54,0,54,45,9,6,0,29,16,0,0,3,0,1
Z45,Z45.1.1,458 | Crossroads Maldives,84,66,0,66,60,6,7,0,24,28,1,3,2,1,1
Z46,Z46.1.1,459 | Cinnamon Dhonveli Maldives,46,41,0,41,39,2,0,0,12,27,0,0,2,0,1
Z47,Z47.1.1,"460 | Patina Maldives, Fari Islands",52,42,0,42,38,4,2,0,22,14,1,0,3,0,1
Z49,Z49.1.1,462 | Aanugandu Island Resort,33,31,0,31,26,5,3,0,14,12,0,0,2,0,1
Z50,Z50.1.1,463 | Adaaran Prestige Vadoo,34,32,0,32,31,1,2,0,6,22,0,0,2,0,1
Z51,Z51.1.1,464 | Sheraton Maldives Full Moon Resort & Spa,56,48,0,48,45,3,2,0,19,25,0,0,2,0,1
Z52,Z52.1.1,465 | Hilton Maldives Amingiri Resort & Spa,70,53,2,55,52,3,5,0,19,20,0,1,7,1,1
Z53,Z53.1.1,466 | Embudhu Village,43,43,0,43,41,2,0,0,15,22,0,1,4,1,1
Z54,Z54.1.1,467 | Gili Lankanfushi,65,62,0,62,59,3,1,0,24,33,1,0,3,0,1
Z55,Z55.1.1,468 | Waldorf Astoria Maldives Ithaafushi,126,113,0,113,111,2,4,0,39,52,1,0,17,0,1
Z56,Z56.1.1,469 | Oaga Art Resort,34,30,1,31,28,3,0,0,18,6,0,1,5,0,1
Z57,Z57.1.1,470 | Baros Maldives,56,53,2,55,50,5,2,0,18,25,0,0,8,0,1
Z58,Z58.1.1,471 | Kuda Villingili Resort Maldives,42,32,0,32,23,9,7,0,7,15,0,0,3,0,1
Z59,Z59.1.1,472 | Kuramathi Maldives,122,97,0,97,95,2,2,0,45,47,0,0,3,0,1
Z60,Z60.1.1,473 | W Maldives,46,37,1,38,36,2,3,1,18,13,0,0,2,0,1
Z61,Z61.1.1,474 | Conrad Maldives Rangali Island,94,91,0,91,89,2,1,0,37,32,2,1,18,0,0
Z62,Z62.1.1,475 | Sun Island Resort and Spa,115,105,3,108,97,11,1,0,11,16,76,0,1,0,0
Z63,Z63.1.1,476 | Nova Maldives,33,28,1,29,24,5,1,0,9,14,1,0,3,0,0
Z64,Z64.1.1,"477 | Lux South Ari Atoll, Maldives",65,60,0,60,53,7,1,0,30,25,1,0,2,1,0
Z66,Z66.1.1,479 | Radisson Blu Resort,33,25,1,26,23,3,2,0,8,13,0,1,1,0,0
Z69,Z69.1.1,482 | Niyama Maldives,51,45,0,45,44,1,4,0,20,18,0,0,2,1,0
Z70,Z70.1.1,483 | Kandima Maldives,60,49,2,51,48,3,2,0,21,21,1,0,1,3,0
Z71,Z71.1.1,"484 | The St. Regis Vommuli Resort, Maldives",52,48,0,48,47,1,3,0,18,21,1,0,4,1,0
Z73,Z73.1.1,486 | Riu Atoll and Riu Palace Maldivas,36,32,0,32,30,2,1,0,13,14,0,0,3,1,0
Z76,Z76.1.1,489 | Robinson Maldives,31,21,2,23,22,1,0,0,6,14,0,0,1,0,1
Z79,Z79.1.1,605 | One and Only Reethi Rah,160,147,0,147,146,1,4,0,89,38,0,0,15,1,1
Z80,Z80.1.1,606 | Fari Campus Maldives,88,80,0,80,72,8,2,0,32,38,1,1,6,0,1
Z81,Z81.1.1,607 | Amari Raaya Maldives,36,28,2,30,29,1,3,0,9,15,0,0,1,0,1
Z82,Z82.1.1,608 | Centara Ras Fushi Resort and Spa Maldives,35,23,0,23,19,4,0,0,13,7,1,0,2,0,1
Z83,Z83.1.1,609 | Centara Grand Island Resort and Spa Maldives,41,33,0,33,31,2,2,0,10,12,4,0,5,0,0
