box_number,box_code,box_name,eligible_voters,valid_votes,invalid_votes,total_votes,male_voted,female_voted,candidate_1_votes,candidate_2_votes,candidate_3_votes,candidate_4_votes,candidate_5_votes,candidate_6_votes,candidate_7_votes,candidate_8_votes,verified
S06,S06.1.5,"388 | Addu, Hithadhoo - 15",893,608,5,613,265,348,16,3,284,195,10,1,93,6,1
S07,S07.1.1,"389 | Addu, Meedhoo - 1",493,353,5,358,162,196,6,1,139,185,0,1,20,1,1
S07,S07.1.2,"390 | Addu, Meedhoo - 2",508,354,11,365,152,213,4,2,141,188,4,3,9,3,1
S07,S07.1.3,"391 | Addu, Meedhoo - 3",478,348,8,356,171,185,6,1,126,184,2,3,25,1,1
S07,S07.2.1,"392 | Addu, Maradhoo Feydhoo - 1",445,338,7,345,174,171,1,1,173,130,2,2,29,0,1
S07,S07.2.2,"393 | Addu, maradhoo Feydhoo - 2",508,356,14,370,151,219,2,1,185,115,1,2,41,9,1
ST.,ST.1.1,"560 | Addu City, Male' - 1",684,579,4,583,285,298,8,0,202,206,11,14,138,0,0
ST.,ST.1.2,"561 | Addu City, Male' - 2",619,516,3,519,223,296,4,1,164,213,5,16,111,2,0
ST.,ST.2.1,"562 |  Addu City, Male' - 3",527,429,3,432,182,250,2,0,174,177,9,9,49,9,1
ST.,ST.2.2,"563 | Addu City, Male' - 4",563,447,7,454,207,247,4,1,198,184,4,16,32,8,1
ST.,ST.3.1,"564 | Addu City, Male' - 5",565,435,4,439,196,243,5,1,138,185,6,20,79,1,1
ST.,ST.4.1,"565 | Addu City, Male' - 6",761,585,10,595,255,340,7,1,244,210,15,26,79,3,1
ST.,ST.5.1,"566 | Addu City, Male' - 7",655,477,2,479,217,262,10,0,182,168,21,20,71,5,1
ST.,ST.6.1,"567 | Addu City, Male' - 8",601,452,2,454,190,264,19,1,208,152,8,12,44,8,1
ST.,ST.7.1,"568 | Addu City, Male' - 9",836,658,11,669,293,376,12,1,260,299,16,24,45,1,1
T01,T01.1.1,159  |  Hulhumale' - 1,753,611,3,614,309,305,32,0,196,305,12,16,43,7,1
T01,T01.1.2,160  | Hulhumale' - 2,751,570,12,582,288,294,28,1,181,288,10,14,44,4,1
T01,T01.1.3,161  | Hulhumale' - 3,761,622,19,641,280,361,30,0,168,336,15,9,61,3,1
T01,T01.1.4,162  | Hulhumale' - 4,782,652,2,654,369,285,21,0,162,342,23,17,84,3,1
T01,T01.1.5,163  | Hulhumale' - 5,765,594,11,605,308,297,22,1,163,315,13,17,59,4,1
T02,T02.1.1,166  | Medhu Henveyru - 1,730,522,8,530,255,275,25,0,202,214,11,14,51,5,1
T02,T02.1.2,167  | Medhu Henveyru - 2,738,540,6,546,277,269,21,1,175,242,12,29,58,2,1
T02,T02.1.3,168  | Medhu Henveyru - 3,809,620,10,630,316,314,30,0,222,272,18,27,45,6,1
T02,T02.1.4,169  | Medhu Henveyru - 4,685,489,8,497,247,250,23,0,175,216,6,22,40,7,1
T03,T03.1.1,170  | Henveyru Dhekunu - 1,764,594,4,598,277,321,22,3,232,266,13,14,44,0,1
T03,T03.1.2,171  | Henveyru Dhekunu - 2,666,515,19,534,263,271,17,2,212,229,6,20,28,1,1
T03,T03.1.3,172  | Henveyru Dhekunu - 3,794,586,9,595,292,303,15,1,229,254,15,17,55,0,1
T03,T03.1.4,173  | Henveyru Dhekunu - 4,646,480,7,487,229,258,13,1,213,192,3,15,39,4,1
T04,T04.1.1,174  | Henveyru Uthuru - 1,675,506,11,517,255,262,23,0,209,216,7,19,29,3,1
T04,T04.1.2,175  | Henveyru Uthuru - 2,652,499,6,505,234,271,22,4,152,232,17,21,49,2,1
T04,T04.1.3,176  | Henveyru Uthuru - 3,635,475,4,479,220,259,28,1,171,183,12,30,49,1,1
T04,T04.1.4,177  | Henveyru Uthuru - 4,520,389,5,394,229,165,7,2,144,175,9,7,40,5,1
T04,T04.1.5,178  | Henveyru Uthuru - 5,544,430,3,433,241,192,16,0,140,216,7,9,37,5,1
T05,T05.1.1,179  | Galolhu Uthuru - 1,752,514,4,518,237,281,13,3,172,224,4,30,56,12,1
T05,T05.1.2,180  | Galolhu Uthuru - 2,728,500,10,510,258,252,16,2,176,148,16,29,104,9,1
T05,T05.1.3,181  | Galolhu Uthuru - 3,614,463,18,481,228,253,19,11,166,184,8,23,49,3,1
T05,T05.1.4,182  | Galolhu Uthuru - 4,822,609,10,619,292,327,19,2,253,211,15,36,69,4,1
T05,T05.1.5,183 | Galolhu Uthuru - 5,699,509,4,513,247,266,16,0,191,201,14,25,52,10,1
T06,T06.1.1,184  | Galolhu Dhekunu - 1,812,620,8,628,329,299,34,0,235,274,25,19,31,2,1
T06,T06.1.2,185  | Galolhu Dhekunu - 2,776,606,8,614,318,296,36,2,238,247,13,17,37,16,1
T06,T06.1.3,186  | Galolhu Dhekunu - 3,687,523,7,530,272,258,16,2,223,225,16,12,27,2,1
T06,T06.1.4,187  | Galolhu Dhekunu - 4,834,624,8,632,323,309,16,1,235,263,18,49,40,2,1
T06,T06.1.5,188  | Galolhu Dhekunu - 5,552,426,9,435,214,221,16,1,171,178,12,17,26,5,1
T07,T07.1.1,189  | Mahchangolhi Uthuru - 1,808,564,8,572,273,299,17,1,210,216,15,25,78,2,1
T07,T07.1.2,190  | Mahchangolhi Uthuru - 2,728,505,4,509,232,277,37,0,192,207,8,21,35,5,1
T07,T07.1.3,191  | Mahchangolhi Uthuru - 3,702,510,7,517,252,265,21,1,186,218,13,24,38,9,1
T07,T07.1.4,192  | Mahchangolhi Uthuru - 4,667,512,5,517,287,230,11,1,153,273,8,8,53,5,1
T08,T08.1.1,193  | Mahchangolhi Dhekunu - 1,699,530,7,537,262,275,33,0,216,224,9,14,30,4,1
T08,T08.1.2,194  | Mahchangolhi Dhekunu - 2,719,556,2,558,281,277,23,0,223,237,9,25,37,2,1
T08,T08.1.3,195  | Mahchangolhi Dhekunu - 3,801,612,11,623,314,309,27,2,224,297,16,17,26,3,1
T08,T08.1.4,196  | Mahchangolhi Dhekunu - 4,799,583,13,596,305,291,17,1,194,286,14,20,47,4,1
T08,T08.1.5,197  | Mahchangolhi Dhekunu - 5,167,135,0,135,76,59,3,0,43,71,3,3,11,1,1
T09,T09.1.1,198  | Maafannu Uthuru - 1,708,504,6,510,265,245,18,2,209,164,24,29,56,2,0
